"candidata"|"ofensa"|"canddef"|"...4"|"contra ela"|"teor"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Tu é jumenta mesmo  Foi mais uma vítima desta violência horrível e vc lacrando em cima de um cadóver  Vc é baixa   "|"Mara Gabrilli"|NA|"sim"|"jumenta/baixa"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Covarde  frouxa e mal exemplo  Se falasse que votaria em lula eu não ficaria tão puto quando dizer umas merdas destas"|"Mara Gabrilli"|NA|"sim"|"covarde/frouxa"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli ðŸš¨ URGENTE ðŸš¨   VEJAM COMO FOI A ERA LULOPETISTA 2008   Não queremos esta roubalheira de volta nem o desmatamento da AmazÃ´nia  foralulaladrao  ForaPT   Vai realmente votar em branco  https   t co cZQbGCo5Gh"|"Mara Gabrilli"|NA|"nao"|"questiona a decisão"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Quer dizer que tudo que falou sobre a morte do Celso Daniel era mentira  Essa falsa equivalência só mostra sua moral em estado de putrefaóão  Outra coisa  essa aqui em baixo é você  Só para saber  https   t co TymZpreKlI"|"Mara Gabrilli"|NA|"sim"|"moral"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Deixa de ser covarde  mulher "|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"Que vergonha de senadora  maragabrilli https   t co 0uu0S1YiAH"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    raquellyra Com a decadência da moralidade e o avanóo da corrupóão  estó tudo pronto para a destruióão da consciência dos cidadãos de bem e dos bons costumes  Foróa   SimonePresidente15 e  maragabrilli  com as Senhoras na Presidência da RepÃºblica os cidadãos voltam a ter esperanóa "|"Mara Gabrilli"|NA|"nao"|"apoio à candidatura delas"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli  CAndre51 Vc deixaria um bandido corrupto ganhar e assumir o Poder p la sua omissão      O mal prospera porque o Bem é omisso   maragabrilli se posicione e se libere da Simone â€œEstepeâ€  Vc é muito melhor que ela e não tem a rejeióão dela  expressa por um caróter de pura falsidade "|"Mara Gabrilli"|NA|"nao"|"questiona a decisão"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" jdoriajr  maragabrilli  maragabrilli acusou o Lula de ser o mandante do Assassinato do Celso Daniel e no 2 turno vai apoiar o Lula junto com a Tebet  Seró  Quer ver se tem vergonha na cara "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" CNNBrasil calada sobre o assunto que veio Ã  tona da  maragabrilli sobre o lula  "|"Mara Gabrilli"|NA|"nao"|NA
